Pays/année	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
SOUDAN DU SUD								0			54	87	109
SRI LANKA	279	287	307	350	409	488	471	436	405	413	425	441	486
SUEDE	3 305	4 057	4 983	5 205	5 226	5 317	4 607	4 859	5 395	5 585	6 329	6798	6785
SUISSE	109 106	118 043	129 506	133 074	128 701	129 872	132 784	138 349	143 870	145 108	155 743	158862	163600
SURINAME	133	129	153	148	156	174	191	202	229	224	251	246	259
SYRIE	1 804	2 098	2 274	2 335	2 375	2 794	2 677	2 786	2 955	3 032	2 660	1893	1397
TADJIKISTAN									21	24	33	42	54
TAIWAN	1 089	1 199	1 200	1 282	1 324	1 301	1 258	1 300	1 325	1 331	1 517	1610	1678
TANZANIE	408	438	437	435	449	465	453	485	529	578	630	668	672
TCHAD	1 401	1 400	1 268	1 234	1 216	1 160	1 151	1 282	1 345	1 383	1 259	1186	1306
TCHEQUE (REP.)	1 597	1 554	1 859	2 184	2 461	2 749	2 500	2 501	2 516	2 720	2 983	3115	3403
THAILANDE	3 473	3 972	4 506	5 092	5 778	6 922	7 411	8 230	8 903	9 261	9 788	9905	9937
TOGO	2 561	2 694	2 956	2 893	2 697	2 764	2 764	2 833	2 763	2 858	3 007	2971	2855
TRINITE ET TOBAGO	431	542	602	611	672	718	635	621	611	635	649	625	649
TUNISIE	13 694	15 079	16 210	15 375	15 463	16 421	15 931	17 980	19 010	19 995	21 552	22221	23042
TURKMENISTAN	111	132	129	178	154	141	136	170	408	551	473	373	403
TURQUIE	3 432	3 648	3 808	3 953	4 184	4 719	4 947	5 443	5 766	6 109	6 630	7367	7916
UKRAINE	274	295	353	393	484	637	732	850	941	987	1 016	953	928
URUGUAY	1 667	2 139	2 305	2 265	2 242	2 220	2 127	2 642	2 762	2 836	2 824	2862	2869
VANUATU	908	1 049	1 018	1 113	1 109	1 354	1 424	1 594	1 696	1 853	1 962	1934	1978
VENEZUELA	4 153	4 194	4 832	5 440	5 358	5 823	4 502	4 830	4 954	4 913	4 970	4917	4580
VIET-NAM	2 229	2 558	3 047	3 255	3 445	3 955	4 375	4 912	5 343	5 672	6 164	6304	6646
YEMEN	345	368	333	372	406	563	645	725	788	719	510	457	485
ZAMBIE	173	188	196	201	219	222	211	237	232	215	243	241	262
ZIMBABWE	296	288	297	290	264	278	253	230	236	254	241	220	213
			
